label,name
0,panthera
1,leptailurus
2,acinonyx
3,vulpes
4,capreolus
5,felis
6,urocyon
7,suricata
8,canis
9,fox
10,bovini
11,rhinoceros
12,hyena
13,hippo
14,procyon
15,erethizon
16,lynx
17,petaurus
18,pongo
19,tapirus
20,caprini
21,elephant
22,equus
23,cavia
24,trichechus
25,macropus
26,orycteropus
27,gorilla
28,civet
29,giraffa
30,chinchilla
31,phacochoerus
32,vicugna
33,martes
34,squirrel
35,tursiops
36,caracal
37,ailuropoda
38,pig
39,deer
40,ceratotherium
41,lepus
42,phascolarctos
43,ursus
44,camelus
45,aepycerotinae
46,setonix
47,mirounga
48,sarcophilus
49,tragelaphini
50,papio
51,mesocricetus
52,megaptera
53,seal
54,lutra
55,prionailurus
56,cervus
57,muntiacus
58,macaca
59,mustela
60,lama
61,pan
62,tamarin
63,dipodomys
64,tremarctos
65,sea lion
66,marmota
67,nasalis
68,alces
69,okapia
70,indri
71,lycaon
72,antilopini
73,myrmecophaga
74,cynomys
75,tarsius
76,phoca
77,armadillo
78,halichoerus
79,castor
80,alcelaphinae
81,eubalaena
82,saimiri
83,melursus
84,ondatra
85,odobenus
86,tamandua
87,neomonachus
88,nyctereutes
89,ornithorhynchus
90,ailurus
91,odocoileus
92,balaenoptera
93,thylogale
94,dugong
95,hog
96,tachyglossus
97,vombatus
98,hylobates
99,ovibovini
100,bat
101,hydrurga
102,rangifer
103,enhydra
104,alouatta
105,treeshrew
106,chlorocebus
107,helarctos
108,diceros
109,acerodon
110,ateles
111,hippotraginae
112,mellivora
113,mandrillus
114,hydrochoerus
115,callithrix
116,leopardus
117,lemmus
118,herpestes
119,orcinus
120,bradypus
121,bassariscus
122,genetta
123,dama
124,dendrolagus
125,fur seal
126,otaria
127,reduncinae
128,cephalophinae
129,erythrocebus
130,gulo
131,myrmecobius
132,catopuma
133,pagophilus
134,cuon
135,physeter
136,macrotis
137,phalanger
138,cryptoprocta
139,chrysocyon
140,potos
141,arctictis
142,potamochoerus
143,leontopithecus
144,neofelis
145,antilocapra
146,pekania
147,cebus
148,tupaia
149,lagothrix
150,perameles
151,pardofelis
152,priodontes
153,pseudorca
154,ectophylla
155,arvicola
156,neotragini
157,microcebus
158,otocolobus
159,saguinus
160,callorhinus
161,dasyurus
162,potorous
163,eumetopias
164,puma
165,nasua_nasuella
166,hylochoerus
167,myotis
168,dicerorhinus
169,elaphurus
170,lagenorhynchus
171,tadarida
172,cacajao
