panthera	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
leptailurus	[1, 2, 3, 4, 5, 6, 8, 9, 11]	9
acinonyx	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
vulpes	[0, 1, 2, 3, 4, 6, 7, 8, 9]	9
capreolus	[0, 2, 3, 6, 8]	5
felis	[0, 1, 2, 3, 8, 9]	6
urocyon	[0, 1, 2, 3, 4, 6, 7, 8, 9]	9
suricata	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	10
canis	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
fox	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	11
bovini	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
rhinoceros	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
hyena	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
hippo	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
procyon	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
erethizon	[0, 1, 2, 3, 4, 5, 6, 8, 11]	9
lynx	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]	11
petaurus	[0, 1, 3, 4, 6, 8]	6
pongo	[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]	11
tapirus	[0, 1, 2, 3, 4, 5, 6, 7, 11]	9
caprini	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
elephant	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
equus	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
cavia	[0, 1, 3, 4, 5, 6, 7, 8]	8
trichechus	[0, 1, 2, 3, 4, 7, 8, 11]	8
macropus	[0, 1, 2, 3, 4, 5, 6, 8, 11]	9
orycteropus	[1, 3, 5]	3
gorilla	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	12
civet	[1, 2, 3, 4, 6, 8, 9, 11]	8
giraffa	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
chinchilla	[0, 1, 2, 3, 4, 6, 8, 11]	8
phacochoerus	[0, 1, 2, 3, 4, 5, 6, 8, 11]	9
vicugna	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
martes	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]	11
squirrel	[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]	11
tursiops	[2, 3, 4, 7, 9, 11]	6
caracal	[0, 1, 2, 3, 6, 7, 8, 9, 10]	9
ailuropoda	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]	11
pig	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
deer	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
ceratotherium	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
lepus	[0, 1, 2, 3, 4, 8]	6
phascolarctos	[0, 1, 3, 4, 5, 6, 7, 8]	8
ursus	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]	11
camelus	[0, 1, 2, 3, 4, 5, 7, 8, 11]	9
aepycerotinae	[0, 1, 2, 3, 4, 6, 8, 11]	8
setonix	[0, 1, 2, 8, 11]	5
mirounga	[1, 2, 3, 4, 5, 8, 9, 11]	8
sarcophilus	[0, 1, 2, 3, 8]	5
tragelaphini	[0, 2, 3, 4, 5, 6, 8, 11]	8
papio	[0, 1, 3, 4, 5, 6, 8]	7
mesocricetus	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
megaptera	[1, 2, 3, 4, 7, 8, 9, 11]	8
seal	[1, 2, 3, 4, 5, 7, 8, 9, 10, 11]	10
lutra	[0, 1, 2, 3, 5, 6, 7, 8, 9]	9
prionailurus	[1, 2, 3, 4, 5, 6, 8, 9, 11]	9
cervus	[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]	10
muntiacus	[0, 1, 2, 3, 8]	5
macaca	[0, 2, 3, 4, 5, 6, 7, 8]	8
